Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddNewOrder,Chrome 66.0.3359.139,,2018-05-09 22:04:12,2018-05-09 22:04:25,12.616s,PASSED
,,,,,,
Test Cases/AddNewOrder,Chrome 66.0.3359.139,,2018-05-09 22:04:12,2018-05-09 22:04:25,12.311s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 22:04:13,2018-05-09 22:04:15,2.782s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 22:04:15,2018-05-09 22:04:22,6.210s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 22:04:22,2018-05-09 22:04:22,0.161s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 22:04:22,2018-05-09 22:04:22,0.101s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 22:04:22,2018-05-09 22:04:22,0.103s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-09 22:04:22,2018-05-09 22:04:23,1.018s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 22:04:23,2018-05-09 22:04:23,0.090s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 22:04:23,2018-05-09 22:04:23,0.091s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 22:04:23,2018-05-09 22:04:23,0.051s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 22:04:23,2018-05-09 22:04:23,0.092s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 22:04:23,2018-05-09 22:04:23,0.033s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 22:04:23,2018-05-09 22:04:23,0.089s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-09 22:04:23,2018-05-09 22:04:23,0.017s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 22:04:23,2018-05-09 22:04:24,0.562s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 22:04:24,2018-05-09 22:04:25,0.647s,PASSED
