Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminLoginTestSuite,Chrome 66.0.3359.139,,2018-05-08 17:00:14,2018-05-08 17:00:27,12.709s,PASSED
,,,,,,
Test Cases/TestAdminLogin,Chrome 66.0.3359.139,,2018-05-08 17:00:14,2018-05-08 17:00:27,12.420s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 17:00:15,2018-05-08 17:00:18,3.608s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 17:00:18,2018-05-08 17:00:25,6.413s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:00:25,2018-05-08 17:00:25,0.152s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:00:25,2018-05-08 17:00:25,0.102s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 17:00:25,2018-05-08 17:00:25,0.096s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 17:00:25,2018-05-08 17:00:26,1.091s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 17:00:26,2018-05-08 17:00:26,0.040s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-08 17:00:26,2018-05-08 17:00:27,0.676s,PASSED
