Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AvailableProductTestSuite,Chrome 66.0.3359.139,,2018-05-09 17:05:18,2018-05-09 17:05:37,19.216s,PASSED
,,,,,,
Test Cases/TestAvailableProduct,Chrome 66.0.3359.139,,2018-05-09 17:05:18,2018-05-09 17:05:29,10.415s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:05:19,2018-05-09 17:05:22,3.616s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:05:22,2018-05-09 17:05:26,4.229s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:05:26,2018-05-09 17:05:27,0.166s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:05:27,2018-05-09 17:05:27,0.103s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:05:27,2018-05-09 17:05:27,0.118s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:27,2018-05-09 17:05:28,1.091s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:28,2018-05-09 17:05:28,0.038s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:28,2018-05-09 17:05:28,0.042s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:28,2018-05-09 17:05:28,0.042s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:28,2018-05-09 17:05:28,0.036s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:28,2018-05-09 17:05:28,0.042s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:05:28,2018-05-09 17:05:29,0.666s,PASSED
,,,,,,
Test Cases/TestAvailableProduct,Chrome 66.0.3359.139,,2018-05-09 17:05:29,2018-05-09 17:05:37,8.516s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:05:29,2018-05-09 17:05:31,1.906s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:05:31,2018-05-09 17:05:35,4.321s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:05:35,2018-05-09 17:05:35,0.139s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:05:35,2018-05-09 17:05:35,0.111s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:05:35,2018-05-09 17:05:35,0.090s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:35,2018-05-09 17:05:36,1.072s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:36,2018-05-09 17:05:36,0.047s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:36,2018-05-09 17:05:36,0.040s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:36,2018-05-09 17:05:36,0.042s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:36,2018-05-09 17:05:37,0.040s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:05:37,2018-05-09 17:05:37,0.039s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:05:37,2018-05-09 17:05:37,0.648s,PASSED
