Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LogOutTestSuite,Chrome 66.0.3359.139,,2018-05-09 22:34:06,2018-05-09 22:34:28,21.686s,PASSED
,,,,,,
Test Cases/logOutTest,Chrome 66.0.3359.139,,2018-05-09 22:34:07,2018-05-09 22:34:18,11.117s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 22:34:07,2018-05-09 22:34:10,2.669s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 22:34:10,2018-05-09 22:34:15,5.962s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 22:34:15,2018-05-09 22:34:16,0.169s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 22:34:16,2018-05-09 22:34:16,0.102s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 22:34:16,2018-05-09 22:34:16,0.101s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-09 22:34:16,2018-05-09 22:34:17,1.018s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 22:34:17,2018-05-09 22:34:17,0.065s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 22:34:17,2018-05-09 22:34:17,0.083s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 22:34:17,2018-05-09 22:34:17,0.043s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 22:34:17,2018-05-09 22:34:18,0.670s,PASSED
,,,,,,
Test Cases/logOutTest,Chrome 66.0.3359.139,,2018-05-09 22:34:18,2018-05-09 22:34:28,10.284s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 22:34:18,2018-05-09 22:34:20,1.932s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 22:34:20,2018-05-09 22:34:26,6.160s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 22:34:26,2018-05-09 22:34:26,0.140s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 22:34:26,2018-05-09 22:34:26,0.107s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 22:34:26,2018-05-09 22:34:26,0.102s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-09 22:34:26,2018-05-09 22:34:27,1.000s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 22:34:27,2018-05-09 22:34:27,0.063s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 22:34:27,2018-05-09 22:34:27,0.081s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 22:34:27,2018-05-09 22:34:27,0.042s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 22:34:27,2018-05-09 22:34:28,0.647s,PASSED
