Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PasswordRequiredTestSuite,Chrome 66.0.3359.139,,2018-05-09 16:36:04,2018-05-09 16:36:13,8.581s,PASSED
,,,,,,
Test Cases/TestRequirePassword,Chrome 66.0.3359.139,,2018-05-09 16:36:04,2018-05-09 16:36:13,8.291s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:36:05,2018-05-09 16:36:07,2.760s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:36:07,2018-05-09 16:36:12,4.184s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:36:12,2018-05-09 16:36:12,0.173s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:36:12,2018-05-09 16:36:12,0.113s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:36:12,2018-05-09 16:36:12,0.099s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:36:12,2018-05-09 16:36:12,0.053s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:36:12,2018-05-09 16:36:13,0.660s,PASSED
