Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteIncorrectPassword,Chrome 66.0.3359.139,,2018-05-08 16:27:48,2018-05-08 16:28:03,14.554s,PASSED
,,,,,,
Test Cases/TestIncorrectPasswordNotification,Chrome 66.0.3359.139,,2018-05-08 16:27:48,2018-05-08 16:28:03,14.275s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 16:27:49,2018-05-08 16:27:52,3.712s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 16:27:52,2018-05-08 16:28:01,8.181s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 16:28:01,2018-05-08 16:28:01,0.165s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 16:28:01,2018-05-08 16:28:01,0.118s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 16:28:01,2018-05-08 16:28:01,0.104s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 16:28:01,2018-05-08 16:28:02,1.073s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-08 16:28:02,2018-05-08 16:28:03,0.649s,PASSED
