Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserLoginTestSuite,Chrome 66.0.3359.139,,2018-05-08 17:17:57,2018-05-08 17:18:10,13.040s,PASSED
,,,,,,
Test Cases/TestUserLogin,Chrome 66.0.3359.139,,2018-05-08 17:17:57,2018-05-08 17:18:10,12.750s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 17:17:57,2018-05-08 17:18:01,3.659s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 17:18:01,2018-05-08 17:18:08,6.661s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:18:08,2018-05-08 17:18:08,0.160s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:18:08,2018-05-08 17:18:08,0.113s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 17:18:08,2018-05-08 17:18:08,0.125s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 17:18:08,2018-05-08 17:18:09,1.080s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 17:18:09,2018-05-08 17:18:09,0.041s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-08 17:18:09,2018-05-08 17:18:10,0.656s,PASSED
